"Url","Item_Name","Item_Price","Date_Checked"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzA2MzUyMzUxNjc3MzkzOjE2NzIxNjA4Mjk6c3BfYXRmOjIwMTA1MzMyNDI2Nzk4OjowOjo&url=%2FBoult-Audio-ProBass-Earphones-Resistant%2Fdp%2FB095MDRC41%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dearphones%26qid%3D1672160829%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","Boult Audio Newly Launched XCharge with ENC Mic, 20H Playtime, Biggest 14.2mm Bass Drivers, Type-C Fast Charging (15Mins=15Hrs), Made in India Neckband Probass Bluetooth Wireless Earphones (Red)","899","12/27/22"
"https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNzA2MzUyMzUxNjc3MzkzOjE2NzIxNjA4Mjk6c3BfYXRmOjIwMTA0OTQ3MTcxMzk4OjowOjo&url=%2FBoult-Audio-Environmental-Cancellation-Resistant%2Fdp%2FB09NR7Z144%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dearphones%26qid%3D1672160829%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1","Boult Audio ZCharge 40H Playtime & Super Fast Charging, Environmental Noise Cancellation for Pro+ Calling & IPX5 Water Resistant Bluetooth Wireless in Ear Earphones with Mic (Blue)","1,199","12/27/22"
"https://www.amazon.in/boAt-BassHeads-100-Headphones-Black/dp/B071Z8M4KX/ref=sr_1_3?keywords=earphones&qid=1672160829&sr=8-3","boAt BassHeads 100 in-Ear Wired Headphones with Mic (Black)","365","12/27/22"
"https://www.amazon.in/Oneplus-Bluetooth-Wireless-Earphones-Bombastic/dp/B09TVVGXWS/ref=sr_1_4?keywords=earphones&qid=1672160829&sr=8-4","OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs Music, 30 Hrs Battery Life (Magico Black)","1,999","12/27/22"
"https://www.amazon.in/JBL-C50HI-Ear-Headphones-Black/dp/B07JQKQ91F/ref=sr_1_5?keywords=earphones&qid=1672160829&sr=8-5","JBL C50HI, Wired in Ear Headphones with Mic, One Button Multi-Function Remote, Lightweight & Comfortable fit (Black)","499","12/27/22"
"https://www.amazon.in/Shure-SRH240A-Professional-Quality-Headphone/dp/B002DP594W/ref=sxin_14?asc_contentid=amzn1.osa.00ef79d0-da69-4689-a2f5-1c5c2a2738b8.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.00ef79d0-da69-4689-a2f5-1c5c2a2738b8.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.939c6bd1-1a0e-48f0-a138-af961f88b523%3Aamzn1.sym.939c6bd1-1a0e-48f0-a138-af961f88b523&creativeASIN=B002DP594W&cv_ct_cx=earphones&cv_ct_id=amzn1.osa.00ef79d0-da69-4689-a2f5-1c5c2a2738b8.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=earphones&linkCode=oas&pd_rd_i=B002DP594W&pd_rd_r=0dd04c27-9a17-4b01-bdb3-0ab7d7e1fa38&pd_rd_w=dLvdg&pd_rd_wg=Vjb4l&pf_rd_p=939c6bd1-1a0e-48f0-a138-af961f88b523&pf_rd_r=50KW5E0EFNA6GT14J7RV&qid=1672160829&sr=1-1-c84eb971-91f2-4a4d-acce-811265c24254&tag=gadgettimes.com-21","Shure SRH240A Bluetooth Wired Over Ear Headphone Without Mic (Black)","6,499","12/27/22"
"https://www.amazon.in/Redgear-Cosmo-7-1-Headphones-Controller/dp/B088R9S84B/ref=sxin_14?asc_contentid=amzn1.osa.00ef79d0-da69-4689-a2f5-1c5c2a2738b8.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.00ef79d0-da69-4689-a2f5-1c5c2a2738b8.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.939c6bd1-1a0e-48f0-a138-af961f88b523%3Aamzn1.sym.939c6bd1-1a0e-48f0-a138-af961f88b523&creativeASIN=B088R9S84B&cv_ct_cx=earphones&cv_ct_id=amzn1.osa.00ef79d0-da69-4689-a2f5-1c5c2a2738b8.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=earphones&linkCode=oas&pd_rd_i=B088R9S84B&pd_rd_r=0dd04c27-9a17-4b01-bdb3-0ab7d7e1fa38&pd_rd_w=dLvdg&pd_rd_wg=Vjb4l&pf_rd_p=939c6bd1-1a0e-48f0-a138-af961f88b523&pf_rd_r=50KW5E0EFNA6GT14J7RV&qid=1672160829&sr=1-2-c84eb971-91f2-4a4d-acce-811265c24254&tag=gadgettimes.com-21","Redgear Cosmo 7,1 USB Gaming Wired Over Ear Headphones with Mic with Virtual Surround Sound,50Mm Driver, RGB LEDs & Remote Control(White)","1,849","12/27/22"
"https://www.amazon.in/Cosmic-Byte-Kotion-Each-Headsets/dp/B07413TT53/ref=sxin_14?asc_contentid=amzn1.osa.00ef79d0-da69-4689-a2f5-1c5c2a2738b8.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.00ef79d0-da69-4689-a2f5-1c5c2a2738b8.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.939c6bd1-1a0e-48f0-a138-af961f88b523%3Aamzn1.sym.939c6bd1-1a0e-48f0-a138-af961f88b523&creativeASIN=B07413TT53&cv_ct_cx=earphones&cv_ct_id=amzn1.osa.00ef79d0-da69-4689-a2f5-1c5c2a2738b8.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=earphones&linkCode=oas&pd_rd_i=B07413TT53&pd_rd_r=0dd04c27-9a17-4b01-bdb3-0ab7d7e1fa38&pd_rd_w=dLvdg&pd_rd_wg=Vjb4l&pf_rd_p=939c6bd1-1a0e-48f0-a138-af961f88b523&pf_rd_r=50KW5E0EFNA6GT14J7RV&qid=1672160829&sr=1-3-c84eb971-91f2-4a4d-acce-811265c24254&tag=gadgettimes.com-21","Cosmic Byte Over the Ear Headsets with Mic & LED - G2000 Edition (Black/Blue) Rubberized Texture","1,002","12/27/22"
"https://www.amazon.in/Rockerz-450-Wireless-Bluetooth-Headphone/dp/B07PR1CL3S/ref=sxin_14?asc_contentid=amzn1.osa.00ef79d0-da69-4689-a2f5-1c5c2a2738b8.A21TJRUUN4KGV.en_IN&asc_contenttype=article&ascsubtag=amzn1.osa.00ef79d0-da69-4689-a2f5-1c5c2a2738b8.A21TJRUUN4KGV.en_IN&content-id=amzn1.sym.939c6bd1-1a0e-48f0-a138-af961f88b523%3Aamzn1.sym.939c6bd1-1a0e-48f0-a138-af961f88b523&creativeASIN=B07PR1CL3S&cv_ct_cx=earphones&cv_ct_id=amzn1.osa.00ef79d0-da69-4689-a2f5-1c5c2a2738b8.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-pecos-desktop&keywords=earphones&linkCode=oas&pd_rd_i=B07PR1CL3S&pd_rd_r=0dd04c27-9a17-4b01-bdb3-0ab7d7e1fa38&pd_rd_w=dLvdg&pd_rd_wg=Vjb4l&pf_rd_p=939c6bd1-1a0e-48f0-a138-af961f88b523&pf_rd_r=50KW5E0EFNA6GT14J7RV&qid=1672160829&sr=1-4-c84eb971-91f2-4a4d-acce-811265c24254&tag=gadgettimes.com-21","boAt Rockerz 450 Bluetooth On Ear Headphones with Mic, Upto 15 Hours Playback, 40MM Drivers, Padded Ear Cushions, Integrated Controls and Dual Modes(Luscious Black)","1,220","12/27/22"
"https://www.amazon.in/OnePlus-Wireless-Earbuds-Titanium-Playback/dp/B09ZHPN8W5/ref=sxin_15_aspa_sqa?content-id=amzn1.sym.c9534fda-67f9-4ffd-8b74-d925dc7fd470%3Aamzn1.sym.c9534fda-67f9-4ffd-8b74-d925dc7fd470&cv_ct_cx=earphones&keywords=earphones&pd_rd_i=B09ZHPN8W5&pd_rd_r=0dd04c27-9a17-4b01-bdb3-0ab7d7e1fa38&pd_rd_w=QW5Cf&pd_rd_wg=Vjb4l&pf_rd_p=c9534fda-67f9-4ffd-8b74-d925dc7fd470&pf_rd_r=50KW5E0EFNA6GT14J7RV&qid=1672160829&sr=1-1-9e85f757-0438-470e-8160-8465beaa22d5","OnePlus Nord Buds True Wireless in Ear Earbuds with Mic, 12.4mm Titanium Drivers, Playback:Up to 30hr case, 4-Mic Design + AI Noise Cancellation, IP55 Rating, Fast Charging (Black Slate)","2,799","12/27/22"
